[323/10000] loss=0.2952322725295819 loss_test=0.35675845798068956 acc=0.8705
[324/10000] loss=0.2952145287942943 loss_test=0.35674401064412625 acc=0.8705
[325/10000] loss=0.2951968398095476 loss_test=0.3567295846961267 acc=0.8705
[326/10000] loss=0.2951791421549293 loss_test=0.35671518869551727 acc=0.8705
[327/10000] loss=0.29516146297621076 loss_test=0.35670082066048536 acc=0.8705
[328/10000] loss=0.2951438414043482 loss_test=0.35668646035608514 acc=0.8705
[329/10000] loss=0.2951262160801091 loss_test=0.3566721051804645 acc=0.8705
[330/10000] loss=0.29510867983983685 loss_test=0.3566577736837466 acc=0.8705
[331/10000] loss=0.29509115357765664 loss_test=0.3566434813086543 acc=0.8705
[332/10000] loss=0.29507367094566356 loss_test=0.3566292201414335 acc=0.8705
[333/10000] loss=0.2950561977884294 loss_test=0.3566149675318792 acc=0.8705
[334/10000] loss=0.2950387973058796 loss_test=0.35660073431841577 acc=0.8705
[335/10000] loss=0.2950213918783916 loss_test=0.35658652211177305 acc=0.8706
[336/10000] loss=0.295004037541718 loss_test=0.3565723411331399 acc=0.8707
[337/10000] loss=0.2949866753772091 loss_test=0.35655817745899304 acc=0.8707
[338/10000] loss=0.2949693589654478 loss_test=0.35654401603021757 acc=0.8708
[339/10000] loss=0.2949520603427899 loss_test=0.35652986110362506 acc=0.8708
[340/10000] loss=0.2949347974685391 loss_test=0.35651572170456264 acc=0.8708
[341/10000] loss=0.29491753205674576 loss_test=0.35650160395753017 acc=0.8708
[342/10000] loss=0.2949003082932052 loss_test=0.3564874847308477 acc=0.8708
[343/10000] loss=0.29488310951843083 loss_test=0.3564733900469312 acc=0.8708
[344/10000] loss=0.294865903987467 loss_test=0.35645930314794033 acc=0.8708
[345/10000] loss=0.29484875263905935 loss_test=0.3564452317804787 acc=0.8709
[346/10000] loss=0.29483159480047383 loss_test=0.3564311855663353 acc=0.8709
[347/10000] loss=0.2948145001779255 loss_test=0.3564171639250365 acc=0.8708
[348/10000] loss=0.29479743542269576 loss_test=0.3564031715221704 acc=0.8708
[349/10000] loss=0.29478034349525367 loss_test=0.356389191895133 acc=0.8708
[350/10000] loss=0.29476332017360646 loss_test=0.35637523270244476 acc=0.8709
